"","nom","nb_arbre","duree","nb_jour","poi_count","ligne_count","poly_count"
"209","Muselaar",443,1640,24,1458,31,434
"210","baptistemm",441,549,8,2068,204,7040
"211","rabeyroux",438,1773,50,20979,3095,385896
"212","Rinaldum",437,2118,55,5503,492,264932
"213","fred lischy",432,272,5,1152,15,87
"214","hu9o",430,444,30,1474,47,1694
"215","Samusz",428,1044,26,1204,2,352
"216","Kadanga",424,820,27,709,8,1288
"217","Rems",422,1475,18,1687,60,12581
"218","marinov",417,1616,10,543,0,133
"219","Super-Map",416,1757,41,9158,808,98771
"220","Redcorsair",415,1547,37,827,30,2155
"221","sperlingskauz",411,936,4,1133,3,425
"222","K-T@g",410,1465,17,1361,199,938
"223","Marc le Grand",406,525,12,2173,52,798
"224","Olyon",400,808,6,165480,29750,246387
"225","FrancoisMallet",396,2126,6,749,23,595
"226","Jean-Pierre Rondeau",393,1771,16,4540,699,4675
"227","Samuel Desmarchais",386,39,13,1157,26,860
"228","kalot47",377,559,23,1066,228,629
"229","avalondrey",376,22,5,439,13,697
"230","Molko",376,983,17,591,21,362
"231","SNCF Innovation & Recherche",370,327,6,1013,22,281
"232","guiglar",366,372,9,6018,564,19596
"233","Mg2",364,1798,15,2104,2275,9823
"234","Cedric Bouin",363,69,18,1015,65,717
"235","Brian@Brea",360,1893,17,430,34,221
"236","Seraphle",359,826,19,4820,148,34717
"237","HawkForce",350,76,9,749,126,923
"238","samilla",347,2085,21,1508,54,12349
"239","EmilOSM",339,172,17,455,8,332
"240","Maxime DIVO",339,14,6,453,10,192
"241","rando67",332,2438,69,9788,1245,42244
"242","GeolocalisationMairieFleurance",330,56,6,3334,22,3330
"243","Rouni",329,2113,19,29530,891,69998
"244","Mobilités Montpellier Méditerranée Métropole",327,965,34,2280,383,886
"245","Rom1",321,1981,56,65868,1239,217600
"246","SelfishSeahorse",321,399,23,1431,378,1772
"247","herveb22",319,227,19,1390,241,660
"248","Sven Witte",318,1075,5,661,245,652
"249","Quentin SALLES",307,408,14,3553,469,372
"250","yxoc",306,1602,19,18291,401,9859
"251","JBacc1",304,2329,103,14103,695,42091
"252","ignace72",303,704,21,2901,153,6188
"253","Pymouss",303,1103,16,15529,508,69685
"254","zaizone",303,1598,22,3545,346,6116
"255","monsieur claude",302,125,11,330,1,79
"256","mapimi",298,1462,16,3137,203,7944
"257","clementroux",297,595,22,1376,251,2471
"258","wikipole",295,746,28,991,76,7793
"259","Peilscheibe",293,1915,25,13514,5983,2019
"260","Yves Mahéo",293,1449,18,14356,273,19703
"261","Dfaure",289,78,7,487,2,938
"262","pyrenours",288,1362,11,631,16,5724
"263","Krapulix",287,94,23,907,28,328
"264","lumiru",287,0,1,1408,213,144
"265","ab_fab",279,112,2,2050,183,10702
"266","Teuxe",279,2226,18,10737,2107,2936
"267","BenBwn",278,592,17,603,1,768
"268","highbuilder",278,459,9,370,4,342
"269","dwarfclimb",272,469,42,1491,140,2201
"270","Iván_",269,16,2,275,2,4
"271","Christophe33",268,192,8,1929,65,166
"272","Lekt",268,1118,19,586,64,690
"273","Txo",267,69,11,2272,77,6435
"274","Cédric78",266,12,4,318,0,195
"275","D HRYL",263,5,3,320,0,91
"276","Auriga DaPingoui",261,20,4,368,0,205
"277","Epirial",260,5,2,305,0,45
"278","Camille Jeannin",259,546,36,6748,958,3229
"279","ty000",258,52,5,424,4,952
"280","archi02",255,779,12,1098,226,8778
"281","Percherie",254,1679,15,29680,1874,27291
"282","mygeomatic",253,849,28,6835,1186,13610
"283","Fred_OSM",250,1463,25,9860,1243,3753
"284","Rudloff",250,915,14,861,68,324
"285","Vinpondor",250,1244,10,541,56,3357
"286","hisuuu",249,1393,6,4567,393,1751
"287","apunahasapemapetilon",244,191,14,284,0,1497
"288","guiguid",242,948,7,745,64,150175
"289","Romain MOUNETOU",241,1132,15,858,26,1413
"290","Gustry",240,2625,47,5710,903,43245
"291","J N Squire",239,973,6,304,30,322
"292","azimut400gon",238,1289,25,829,12,3342
"293","donoterase",238,273,13,7026,54,6384
"294","l3BAM",237,402,61,4058,1366,3577
"295","MARIUS-FFB",237,7,4,337,0,525
"296","FredB",231,2276,10,8899,84,36532
"297","FVig",231,540,12,9634,187,113993
"298","Marco_38",231,0,1,244,4,1575
"299","Plop76",230,1110,19,23858,2672,58922
"300","nitrix",229,2686,19,3137,313,39705
"301","Geodyn",228,201,13,10836,1373,21752
"302","K_Peignot",228,934,17,1654,19,1001
"303","XDroid",228,264,4,282,0,53
"304","withoutrope",226,488,17,808,104,1311
"305","DLVA",224,362,6,937,10,516
"306","eccounaltroid",221,144,4,232,0,2
"307","Popcorm",220,99,5,220,0,129
"308","Romuald71_import",220,1187,5,338,10,1467
"309","Jerome__",219,1552,25,1647,137,715
"310","dhuyp",218,1688,14,24517,182,11856
"311","slavey",218,89,20,297,8,1998
"312","Sidhannowe",217,29,5,393,1,237
"313","tanonin",217,883,34,1727,177,1924
"314","Mikhail Kotelnikov",216,0,1,795,1,4
"315","Philippe21",213,537,6,2675,41,39642
"316","Renaud Zigmann",211,515,24,916,24,1
"317","Fabien Moisant",210,0,1,210,0,1
"318","JeaRRo",210,2769,18,6883,136,27709
"319","Christopher",207,0,1,214,0,1
"320","Furdrien",205,279,11,828,2010,1288
"321","ParisEstBeauAVélo",205,72,6,2760,81,169
"322","Yionel",204,188,6,282,0,189
"323","Alejandro Lopez",203,296,2,1542,4,925
"324","Merle Moqueur",202,1,2,431,44,274
"325","naomap",200,779,12,3924,223,6798
"326","5R-MFT",198,835,22,778,254,616
"327","JitenshaNiko",198,3072,3,1216,24,4530
"328","k4r573n",198,38,11,504,5,58
"329","chocomilka",197,364,13,224,3,71
"330","renecha",197,1572,13,1584,415,2029
"331","Kazing",196,740,37,5210,139,2193
"332","Alevana",192,10,2,350,19,63
"333","Jepau for JOSM",192,0,1,583,1,174101
"334","Maxime CHARPENNE",192,836,3,273,1,133
"335","bmarand",191,1550,10,3906,76,54245
"336","gitouche",191,235,16,8359,867,39972
"337","Merle moqueur",190,36,14,818,41,1836
"338","racjul",189,0,1,432,67,36071
"339","Cooking 15610",187,187,24,1250,110,329
"340","natolh",187,27,4,654,10,387
"341","user_2970680",187,205,6,218,0,100
"342","gileri",185,1899,10,6557,414,1414
"343","Mercator 1958",184,79,9,264,68,1412
"344","Gwenj",183,723,20,4394,315,9907
"345","mechanischer_Basstoelpel",181,0,1,181,0,0
"346","Mika_Gueret",180,1236,11,2914,122,7410
"347","RBasile",180,101,3,452,109,201
"348","Dlareg",179,2623,23,2179,44,4675
"349","elfronto",177,339,5,392,0,65
"350","JanFi",177,46,9,404,131,1441
"351","Otourly",177,745,11,3521,184,1277
"352","pshemek",177,0,1,181,0,36
"353","EDSM Felix 2012",176,166,5,319,9,184
"354","glyo",176,438,14,3694,259,6414
"355","sly",176,2706,10,1512,422,6197
"356","ChRogel",174,1835,46,54525,2949,6412
"357","Fluzee",174,7,2,188,4,7
"358","phjarry",173,352,8,322,5,116
"359","loumap",172,770,20,798,10,722
"360","Jeff_9891",171,11,3,241,22,54
"361","Stereo",171,2150,20,1827,1012,11079
"362","Pleabargain",170,370,4,426,0,0
"363","Ondiiik",169,2,3,185,2,524
"364","TSF Cameroun",168,605,4,191,0,666
"365","SuRVoLT69",167,235,5,334,46,400
