"","nom","nb_arbre","duree","nb_jour","poi_count","ligne_count","poly_count"
"1215","OpenStreetMap-WP",12,0,1,12,0,1
"1216","Pfälzer669",12,677,4,454,42,1410
"1217","pizzaiolo",12,0,1,84,0,6
"1218","ptrcgrcosm",12,0,1,13,0,21
"1219","S Latourte",12,1085,10,44,129,1167
"1220","skahnt",12,1020,3,83,3,169
"1221","tgomez",12,0,1,13,0,19
"1222","tito72",12,0,1,180,1,2354
"1223","tomael",12,2,2,282,22,257
"1224","Tyndare",12,8,2,1418,59,32311
"1225","whauix",12,193,3,188,0,31
"1226","WhiskyMacK",12,1223,2,160,40,639
"1227","Win32netsky",12,0,1,71,14,2531
"1228","Arathos",11,396,6,390,23,38
"1229","Cindy55",11,0,1,24,1,93
"1230","Drine",11,0,1,15,1,3
"1231","E2I_ESGT_Groupe2",11,2,2,34,0,36
"1232","Fred_Go",11,5,2,53,4,290
"1233","GéoJura",11,0,1,78,8,25
"1234","gick",11,2,2,11,0,0
"1235","gionax",11,17,2,216,1,162
"1236","GLassus",11,0,1,16,0,1
"1237","Guillaume R",11,0,1,17,0,61
"1238","IsatisBleu",11,842,3,132,2,401
"1239","laurentmartin",11,2,2,17,0,31
"1240","onurb",11,0,1,26,0,15
"1241","Patrick FitzGerald",11,0,1,21,0,1484
"1242","Pyb",11,847,2,67,0,54
"1243","romeodelta",11,150,2,231,62,1942
"1244","TifKim",11,0,1,13,0,2
"1245","TozZ",11,0,1,12,0,28
"1246","trystero",11,0,1,100,0,73
"1247","ulis1",11,665,3,13,0,0
"1248","v0lv0x",11,114,3,174,0,20
"1249","vercauthomas",11,0,1,25,0,22
"1250","verdom23",11,0,1,12,0,15
"1251","aldereric",10,0,1,18,0,49
"1252","Barbara FRANCOIS",10,0,1,19,0,12
"1253","Ben97",10,11,5,52,83,2588
"1254","Black Myst",10,0,1,677,110,1420
"1255","blm07",10,0,1,75,4,70
"1256","chewey",10,3,2,101,28,202
"1257","Emeric",10,0,1,742,36,675
"1258","Eric DUMAS",10,0,1,319,32,1367
"1259","FatouD",10,0,1,10,0,0
"1260","GeBu",10,395,5,28,0,227
"1261","KarimABDELLAH",10,0,1,11,0,5
"1262","kikiph",10,0,1,26,0,0
"1263","marius851000",10,281,2,40,4,88
"1264","Mauls",10,0,1,95,87,37
"1265","milan72430",10,4,2,18,1,40
"1266","nc-lille3",10,10,3,335,1,175
"1267","NC12",10,342,3,239,13,1240
"1268","Ndangane",10,474,4,60,11,335
"1269","nudelkiste",10,0,1,12,0,10
"1270","Onym",10,0,1,232,18,139
"1271","osm_contrib",10,0,1,408,12,197
"1272","Piero G",10,0,1,10,0,2
"1273","Pmz",10,2885,8,3185,5790,2176
"1274","Pompier sgpo",10,0,1,345,3,3167
"1275","Progi1984",10,1622,2,162,7,537
"1276","Sanderd17",10,0,1,149,51,1214
"1277","SK53",10,1259,4,182,11,2271
"1278","Wegabschneider",10,1909,7,448,25,318
"1279","wilpin",10,7,3,38,2,25
"1280","wiltomap",10,0,1,54,1,38
"1281","Wormsy",10,3,2,10,0,6
"1282","zorun",10,9,5,515,7,124
"1283","A Gachen",9,0,1,9,0,0
"1284","BCNorwich",9,171,4,103,48,1382
"1285","CedricDV",9,526,3,12806,415,28748
"1286","celine13500",9,0,1,16,0,1
"1287","CharlotteRizzk",9,0,1,10,0,1
"1288","Corentin Lemaire",9,0,1,12,0,30
"1289","dankpoet",9,101,3,12,5,111
"1290","DerMario",9,77,5,63,3,996
"1291","dreknor",9,0,1,11,0,35
"1292","Eugenip22",9,179,2,14,5,7
"1293","freeclimber",9,0,1,80,7,3270
"1294","Freestyle1984",9,0,1,32,0,33
"1295","harmor",9,2525,4,273,74,619
"1296","idopi",9,0,1,105,5,141
"1297","IIVQ",9,132,2,491,532,256
"1298","ivom",9,0,1,224,0,27
"1299","Kamp",9,0,1,24,0,3
"1300","Le Grand Blond",9,1938,5,2037,313,2778
"1301","leCaimant",9,13,2,92,1,63
"1302","Mants",9,0,1,9,0,0
"1303","MapFugees",9,0,1,19,0,3
"1304","MIchel SDIS 04",9,1305,6,249,3,525
"1305","Musstermar",9,0,1,9,0,48
"1306","odna",9,0,1,17,1,426
"1307","OSMoz",9,2,2,12,0,5
"1308","palkeo",9,0,1,32,0,14
"1309","PaulBSD",9,0,1,49,18,77
"1310","Pierre Gillet",9,0,1,69,1,72
"1311","pyvesa",9,0,1,15,0,47
"1312","Question2me",9,1,2,9,0,2
"1313","rgenoud",9,2147,3,1055,64,9580
"1314","sabas88",9,1,2,58,7,23
"1315","stefanrohrbach",9,4,2,57,3,44
"1316","Steven Ferreira",9,28,2,18,0,30
"1317","swissoptimist",9,0,1,31,3,343
"1318","tetreau",9,0,1,15,1,2
"1319","theophrastos",9,0,1,34,12,15
"1320","TPhilippon",9,0,1,13,0,31
"1321","Uranzu_import",9,2,2,35,0,52
"1322","Aerius42",8,0,1,56,0,10
"1323","Antoine Sirinelli",8,0,1,64,22,136
"1324","arobl",8,1379,3,41037,1553,366515
"1325","ArthurLutz",8,11,2,1776,5,617
"1326","Axelos",8,1347,3,5791,537,3142
"1327","balise34",8,3,3,8,0,41
"1328","Christian SALCHOW",8,0,1,15,0,67
"1329","classe1",8,2,2,43,0,7
"1330","damien3873",8,9,2,26,0,47
"1331","daop5510",8,1853,7,27399,1833,112356
"1332","Delight26",8,0,1,11,0,9
"1333","dig360",8,716,2,14,0,4
"1334","emmanuelecois",8,0,1,56,5,198
"1335","escamillo",8,97,4,358,14,120
"1336","florian_g",8,63,2,3649,504,2561
"1337","flosam",8,0,1,10,0,5
"1338","ForstEK",8,0,1,22,0,326
"1339","Francois555",8,1263,5,1110,8,236
"1340","Gaellig",8,1,2,18,0,8
"1341","gepeix",8,0,1,15,2,167
"1342","guggis",8,3,2,147,11,109
"1343","irgusite",8,0,1,9,0,16
"1344","joedal-osm",8,0,1,8965,2539,27090
"1345","Julien Chab",8,0,1,679,0,8642
"1346","Libre Circulation",8,299,4,142,53,101
"1347","Luc C",8,0,1,227,0,39
"1348","mlodeve",8,0,1,8,0,0
"1349","mobik1",8,15,2,9,0,0
"1350","monsieur a",8,1265,3,8790,680,172200
"1351","PhilHeck",8,821,3,22,1,16
"1352","pschonmann",8,0,1,10,0,20
"1353","quelqu'un",8,0,1,251,1,393
"1354","QuentinLab68",8,0,1,129,38,544
"1355","Remo Crubraz",8,29,3,95,14,47
"1356","rems62",8,766,2,16,1,53
"1357","s-tikhomirov",8,155,2,143,3,421
"1358","Shivaia",8,20,3,46,72,118
"1359","SilvanC",8,0,1,10,0,4
"1360","simgis",8,0,1,262,8,122
"1361","sorau",8,0,1,271,0,173
"1362","Tabasco2",8,0,1,16,0,1
"1363","Tchiller",8,13,2,10,0,5
"1364","user_2230854",8,0,1,8,1,58
"1365","vwvw",8,505,3,68,10,132
"1366","wonux",8,0,1,8,0,2
"1367","YOSM",8,886,6,343,203,357
"1368","adavirondebrouillards",7,0,1,13,0,5
"1369","agnesrambaud",7,0,1,359,9,994
"1370","annecassa",7,0,1,28,0,8
"1371","APDA33-1",7,127,2,19,1,3
"1372","APDA33-2",7,0,1,29,0,21
"1373","ArThuRacK",7,37,3,16,1,67
"1374","babylove",7,0,1,13,0,9
"1375","Bot45715",7,0,1,10,0,37
"1376","Chalisi",7,198,3,1299,248,1100
"1377","Christophe_GCT_EMS",7,49,2,24,1,21
"1378","CitymapperHQ",7,720,3,25,16,2
"1379","Cradamy",7,0,1,9,8,25
"1380","DagelijksGamer",7,0,1,7,0,0
"1381","darkkrayat84",7,317,2,34,1,2
"1382","djakk",7,999,2,318,5739,90
"1383","etienne-jura-geneve",7,531,2,83,5,73
"1384","Gabriel Hautclocq",7,414,4,8,17,337
"1385","gaspard",7,62,2,48,1,466
"1386","Géovélo",7,1230,5,3469,1574,330
"1387","hendrix33",7,0,1,17,6,7
"1388","Jamainju",7,0,1,7,0,1
"1389","Jijais",7,0,1,239,5,25
"1390","jojo et philou",7,0,1,10,0,7
"1391","JonOrchard",7,332,2,13,0,14
"1392","Jp-Oc",7,691,5,296,5,66
"1393","Kwinkwin",7,0,1,72,0,35
"1394","loristewis",7,0,1,56,0,29
"1395","Manu4bb9a",7,173,2,283,49,12867
"1396","Mathilde Argoud",7,0,1,7,0,0
"1397","Nikos Vidalis",7,454,3,137,5,174
"1398","OlivierRando",7,0,1,12,1,26
"1399","philipp973",7,0,1,13,0,4
"1400","Pieter Vander Vennet",7,0,1,52,6,57
"1401","Pj44300",7,1635,3,65,20,93
"1402","Richardbla",7,0,1,4463,12,1252
"1403","Romainlyon",7,0,1,14,0,0
"1404","samden",7,13,2,40,13,65
"1405","Scarfraise",7,0,1,9,0,5
"1406","stadiaarcadia",7,0,1,12,0,175
"1407","Tanguy Le Nénaon",7,0,1,10,0,51
"1408","the_smile",7,2489,4,1771,730,7793
"1409","ThePierrasse",7,395,5,2195,237,1181
"1410","Tobal2001",7,2,2,40,3,37
"1411","tomao44",7,396,4,702,16,542
"1412","yegorm",7,0,1,9,0,1
"1413","Adrien Che",6,0,1,10,0,16
"1414","Ailurus24",6,0,1,3034,0,399
"1415","azop51",6,0,1,136,17,7960
"1416","BadWolf",6,0,1,1520,98,1652
"1417","Barthélémy Chenaux",6,0,1,9,0,1
"1418","blacKeuz",6,0,1,13,0,4
"1419","C214",6,6,4,109,63,10
"1420","cartojo",6,1049,3,1273,259,4295
"1421","Cloudbusting",6,0,1,25,3,532
"1422","colargol",6,1869,4,4575,46,1421
"1423","cooks1000",6,0,1,6,0,2
"1424","Coucouf",6,404,4,3018,111,563
"1425","Cucchietti",6,0,1,239,10,160
"1426","david maillefaud",6,0,1,56,5,177
"1427","dds35",6,498,3,37,0,8
"1428","Decazeville Communauté",6,0,1,33,5,12
"1429","DiChap",6,0,1,7,18,22
"1430","Dumont Olivier",6,30,2,7,2,10
"1431","E2i-ESGT-g3",6,2,2,27,1,14
"1432","earthmap",6,0,1,836,1,40
"1433","emersion",6,613,3,110,3,172
"1434","Emic37",6,101,2,155,14,161
"1435","fab0171",6,0,1,63,0,68
"1436","fesch2",6,0,1,26,0,2
"1437","foehn",6,0,1,9,0,6
"1438","François2",6,111,2,1526,86,1091
"1439","freb",6,0,1,8,18,27
"1440","garygou",6,3,2,14,0,38
"1441","GillesGameche",6,0,1,20,0,7
"1442","H@mlet",6,11,3,904,41,2689
"1443","Hygie",6,345,4,356,5,747
"1444","Icephale",6,0,1,58,22,3612
"1445","JBacc",6,1,2,25,1,3616
"1446","jnicot",6,0,1,7,0,3
"1447","jrmie",6,0,1,7,0,1
"1448","kikisnow",6,13,2,173,5,565
"1449","Kkosmos",6,0,1,12,0,2
"1450","kpym",6,0,1,129,8,177
"1451","LCeT",6,0,1,94,1,43
"1452","locneu",6,1,2,48,13,42
"1453","Markus (Iffze)",6,0,1,23,0,21
"1454","Mathieu N",6,0,1,6,0,0
"1455","max93600",6,0,1,1040,625,455
"1456","Mikani21",6,13,2,74,3,68
"1457","miredo",6,1672,5,1085,97,6042
"1458","Mirgolth",6,23,3,196,9,49
"1459","MODE83",6,749,3,41,1,99
"1460","MunicípioViseu",6,0,1,22,15,62
"1461","N005",6,188,3,14,2,151
"1462","offshore44",6,2062,4,896,92,209
"1463","PEP40",6,0,1,8,0,8
"1464","Pieren",6,838,2,84987,197,96090
"1465","Pinson79",6,0,1,9,1,1
"1466","Ptitetete",6,1,2,6,0,0
"1467","RGPS",6,0,1,230,53,15240
"1468","Saarminner",6,0,1,9,0,2
"1469","Scrup",6,0,1,17,0,1
"1470","Shlublu",6,0,1,260,51,257
"1471","spietsnaz",6,289,3,19,4,51
"1472","SupraAegis",6,0,1,118,2,23
"1473","TheHammer",6,0,1,16,14,84
"1474","Thpathpa",6,0,1,37,0,8
"1475","Tom360",6,0,1,8,3,35
"1476","Tranquille",6,0,1,618,40,72
"1477","Vache Meuh",6,12,3,472,712,774
"1478","Vigilence",6,68,2,946,7,378
"1479","Vincent Dém",6,0,1,33,0,19
"1480","Xapitoun",6,0,1,2697,73,682
"1481","xlopez",6,0,1,17,0,4
"1482","YanUbik",6,0,1,192,69,167
"1483","Zorglub Dernier",6,0,1,255,46,2498
"1484","AdavaPaysd'Aix",5,13,2,91,133,9
"1485","AddicTerra",5,0,1,159,0,26
"1486","Alex Corioze",5,746,5,1893,67,477
"1487","Andonier",5,0,1,5,0,23
"1488","aneuve",5,0,1,8,0,5
"1489","Anthony Hernandez",5,0,1,35,4,53
"1490","Arlo James Barnes",5,0,1,25,0,1
"1491","ArnaudJ59",5,477,3,2228,430,2044
"1492","Arno0405",5,0,1,49,0,2
"1493","assania",5,0,1,5,0,1
"1494","Axel Fourneyron",5,0,1,5,0,0
"1495","Azpidatziak",5,0,1,30,3,8
"1496","Blueberry",5,0,1,771,15,4327
"1497","BlueRecon",5,0,1,5,0,3
"1498","captain kradok",5,0,1,5,0,0
"1499","Caramelles",5,19,3,525,557,97
"1500","cassinette",5,102,4,441,7,18
"1501","CecRemy",5,0,1,5,0,20
"1502","DiaouligRu",5,294,5,2778,806,2804
"1503","DidierC",5,0,1,5,0,0
"1504","DieselSBK",5,0,1,5,0,1
"1505","Dof",5,346,2,1751,22,16318
"1506","Dominus Carnufex",5,482,2,122,7,314
"1507","efes",5,70,3,191,5,59
"1508","Emmanuel Pacaud",5,2072,2,128,15,78014
"1509","Ergerzher",5,0,1,45427,460,1374
"1510","etiennerando",5,5,3,41858,157,78051
"1511","etno",5,48,2,210,10,415
"1512","eumiro",5,730,2,1713,312,1072
"1513","exxos",5,6,2,66,1,129
"1514","Formation UrbanProd",5,0,1,7,0,8
"1515","gae30",5,0,1,9,0,0
"1516","Gilles Nogues",5,599,2,172,7,943
"1517","Grégoire Bonnat",5,0,1,5,0,0
"1518","haavee",5,1126,5,1942,1415,860
"1519","hadry",5,55,4,198,27,9696
"1520","Haldric",5,0,1,382,143,572
"1521","howdystranger",5,104,2,5,0,20
"1522","ihapps",5,0,1,227,2,115
"1523","Ivan Herman",5,0,1,20,0,9
"1524","Libre circulation",5,548,4,114,8,62
"1525","Linugis",5,121,2,115,14,147
"1526","Lionel Martelin-Poder",5,115,4,40,0,1872
"1527","Männedorf",5,0,1,41,15,156
"1528","manu58",5,0,1,11,0,6
"1529","Maryntime",5,0,1,11,0,14
"1530","Matthieu Moy",5,0,1,29,26,15
"1531","mcld",5,464,2,97,0,52
"1532","Metacity",5,2,2,6115,1346,1081
"1533","mfnantes",5,0,1,19,0,8
"1534","mifu",5,0,1,5,0,0
"1535","Mikaye",5,0,1,206,11,492
"1536","mink",5,44,3,293,0,509
"1537","mksf",5,14,4,202,18,1234
"1538","Nadhouu",5,0,1,18,0,11
"1539","nono le mapeur",5,1484,4,2927,11,29791
"1540","oplotcha",5,0,1,226,6,1435
"1541","pierbou",5,0,1,1493,38,25544
"1542","Pierre Blois",5,0,1,22,52,30
"1543","Platon72",5,0,1,19,0,100
"1544","Polyglot",5,42,2,8629,6490,2114
"1545","py_berrard",5,0,1,297,35,1131
"1546","Quentin Harivel",5,551,5,33,11,257
"1547","richard worl",5,143,2,32,0,77
"1548","Rini1",5,412,3,8,10,19
"1549","roki",5,1,2,223,7,489
"1550","salimbens",5,532,2,929,276,106
"1551","SoulReaper",5,14,2,1117,5,1088
"1552","thomasbkd",5,302,2,40,0,59
"1553","thomasschmit",5,0,1,41,9,73
"1554","Timmo",5,213,2,25,0,19
"1555","toto78",5,0,1,42,0,14
"1556","tugen",5,792,2,1804,15,430
"1557","tuyetnho",5,0,1,16,0,5
"1558","unbreton",5,71,2,2746,1,167
"1559","VictorBrice",5,25,2,34,7,119
"1560","Vincent_p",5,4,3,8,0,3
"1561","VincentRando24",5,0,1,902,163,968
"1562","warndtler",5,218,4,1604,5,19767
"1563","wegspotter",5,0,1,24,16,137
"1564","Yherisson",5,5,2,81,5,61
"1565","Yvan Botteron",5,0,1,8,0,5
"1566","Юкатан",5,0,1,57,1,74
"1567","Alane Konan",4,0,1,4,0,4
"1568","AlexandreS",4,0,1,39,0,17
"1569","Angel115",4,0,1,17,0,10
"1570","barrel_shifter",4,0,1,4,0,9
"1571","Beteille",4,0,1,402,321,93
"1572","BFX",4,11,2,29,7,45
"1573","Bikeurs",4,0,1,17,5,19
"1574","bobolica",4,74,4,64,3,29
"1575","Carte-on",4,15,2,780,693,4236
"1576","cassidy33",4,0,1,4,0,0
"1577","Cedric780",4,447,3,195,21,557
"1578","Cehagenmerak",4,0,1,219,4,262
"1579","chene",4,203,3,159936,326,566541
"1580","chiquet damien",4,0,1,6,2,31
"1581","Chlc",4,345,4,1111,1560,594
"1582","cihaneken",4,0,1,7,0,2
"1583","ClaudeMarani",4,1315,4,6130,893,50162
"1584","Coaster2008",4,0,1,23,2,109
"1585","Cumulus38",4,0,1,30,2,71
"1586","DD1GJ",4,0,1,641,8,502
"1587","Delarche",4,0,1,10,0,0
"1588","DIDIER HURDOYAL",4,0,1,16,0,283
"1589","dostoi",4,206,2,2334,340,866
"1590","ekke",4,46,2,51,0,14
"1591","Emmanuel Dewaele",4,1547,4,7391,124,137284
"1592","Erwan38",4,0,1,4,0,6
"1593","escada",4,1635,4,165,32,650
"1594","Etae3ahng4ui",4,0,1,6,0,2
"1595","FlorNet",4,0,1,5,0,2
"1596","Francoerbi41",4,14,3,4,0,0
"1597","Gab56",4,551,2,1397,26,1531
"1598","galileoo",4,178,2,66,0,230
"1599","gormur",4,1349,4,190,35,89
"1600","GRAND PARC MIRIBEL JONAGE (LS)",4,0,1,11,0,0
"1601","gwbpt",4,2,2,184,6,106
"1602","Gyrostat",4,2,2,519,59,99
"1603","habi",4,2,2,102,0,29
"1604","Hessen-Ralph",4,0,1,60,0,61
"1605","Jean-Mi ToutTerrain",4,568,2,465,169,373
"1606","joe_chip",4,0,1,26,1,83
"1607","kalc",4,0,1,34,6,85
"1608","Laurent39",4,412,4,1313,65,13828
"1609","lhapaipai",4,0,1,482,13,3149
"1610","lp_ge",4,476,3,59,0,14
"1611","lyciathelycanroc",4,0,1,8,0,13
"1612","Mapdan89",4,1247,3,3882,6,1031
"1613","Marc Varrasse",4,3,3,4,0,1
"1614","marek kleciak",4,0,1,54,6,6
"1615","Matt Clld",4,0,1,15,1,12
"1616","meannder",4,0,1,25,2,132
"1617","merz",4,0,1,7,0,16
"1618","Mithrandir_",4,0,1,30,0,1468
"1619","MT-13",4,0,1,6,0,0
"1620","Muokkaaja",4,0,1,10,0,3
"1621","NickLite",4,8,2,6,0,7
"1622","NikoJorj",4,71,3,141,39,214
"1623","Olivari Matthieu",4,26,2,13,0,0
"1624","ophperez",4,0,1,14,2,1583
"1625","Peda",4,0,1,4,0,4
"1626","Phyks",4,0,1,945,147,218
"1627","plnew",4,0,1,216,6,19
"1628","PSR-2",4,27,2,64,5,72
"1629","Razican",4,0,1,4,0,17
"1630","Romelito",4,0,1,45,0,50
"1631","Schlehenhexe",4,0,1,110,0,10
"1632","Scott Jojo",4,0,1,4,0,7
"1633","Sebleouf",4,1387,3,100,0,86
"1634","Serge Gre",4,15,2,517,3,205
"1635","slor",4,0,1,19,0,2
"1636","Smallf00t",4,0,1,24,0,58
"1637","sparkfun",4,0,1,4,0,0
"1638","Thibault JUNIN",4,0,1,4,0,2
"1639","Thrrp",4,0,1,74,53,1813
"1640","Toni Serra",4,0,1,138,14,36
"1641","Tutilon",4,1340,3,510,123,8688
"1642","Uaaas",4,0,1,11,0,2
"1643","VELODB",4,2145,3,1510,85,622
"1644","vincedchart",4,5,2,50,3,130
"1645","Wuzzy",4,761,2,146,20,20
"1646","Yan C",4,0,1,35,0,16
"1647","3stan",3,27,2,1248,39,5230
"1648","AdeleCerchiaro",3,0,1,6,0,5
"1649","Adrien Caillot",3,55,2,193,21,122
"1650","Alain Bernard",3,66,2,13,0,10
"1651","allier",3,377,3,715,125,2003
"1652","amatissart",3,0,1,157,31,153
"1653","andrei1974",3,0,1,15,0,8
"1654","ARCH33",3,0,1,7,0,28
"1655","AuroreP",3,0,1,4,0,5
"1656","Aury88",3,0,1,81,1,47
"1657","bastien szczepaniak",3,0,1,8,1,11
"1658","Beersson",3,0,1,8,0,28
"1659","BeKri",3,107,2,990,8,607
"1660","benni_75",3,1886,3,446,2,2033
"1661","bikedeluxe",3,0,1,5,1,27
"1662","BilbaPattes",3,0,1,86,0,52
"1663","blue_prawn",3,0,1,9,0,1
"1664","BMDNTG",3,0,1,18,0,0
"1665","Boris Klymko",3,0,1,3,0,16
"1666","breversa",3,514,3,118,57,106
"1667","Cactusbone",3,1675,3,20,12,1675
"1668","CGJ-4",3,0,1,4,0,2
"1669","Chris51-CH",3,0,1,3,0,0
"1670","christianbarth",3,413,2,19,0,19
"1671","Clairouin",3,0,1,550,26,613
"1672","Collectif des Garrigues",3,1,2,25,2,28
"1673","corentt",3,1569,2,3066,78,12233
"1674","cscabw",3,0,1,25,0,4
"1675","dahu83",3,135,2,298,82,824
"1676","dapincon",3,1,2,13,0,0
"1677","dergrosse",3,0,1,4,0,10
"1678","dianepb",3,0,1,4,0,0
"1679","DIVINCENZO",3,0,1,4,0,0
"1680","Djmaxou",3,0,1,3,0,38
"1681","Dominique Blanc",3,0,1,16,4,14
"1682","Ecologeek",3,874,3,88,9,83357
"1683","egilli",3,106,2,494,6,286
"1684","eidolies",3,1,2,156,1,25
"1685","elomita",3,0,1,41,0,46
"1686","extua",3,0,1,24,0,15
"1687","familiapicarol",3,0,1,70,0,462
"1688","fduss",3,0,1,4,0,0
"1689","framboise30",3,0,1,5,0,0
"1690","Francisco Valverde",3,0,1,6,0,3
"1691","frans45",3,175,3,27,0,0
"1692","fredbernar",3,0,1,8,0,3
"1693","free_as_a_bird",3,0,1,109,0,79
"1694","freenerd",3,0,1,98,0,22
"1695","freyfogle",3,739,2,5,6,10
"1696","Fûka",3,0,1,70,0,13
"1697","gagnieray",3,15,3,255,9,53
"1698","Gilbert Aeschelmann import Cadastre",3,263,2,1597,740,325135
"1699","GrandJack",3,21,2,5,1,0
"1700","greecemapper",3,8,3,551,63,194
"1701","grhum59",3,0,1,425,109,118
"1702","GTcollecte",3,94,3,80,2,5
"1703","helene777",3,0,1,15,0,2
"1704","henri57",3,1167,3,20,5,144
"1705","Hermann001",3,0,1,425,6,135
"1706","Higonnet",3,1286,3,51,4,65
"1707","HWguy",3,0,1,71,6,281
"1708","idrissi",3,506,2,115,5,110
"1709","initialLED",3,0,1,56,2,309
"1710","jjccnn",3,0,1,7,9,10
"1711","JochenB",3,0,1,239,65,331
"1712","joli",3,0,1,20,1,50
"1713","Jonathan29",3,0,1,3,0,0
"1714","José VDC",3,53,2,200,20,1127
"1715","kamarc",3,1125,2,88,5,60
"1716","Kasterborous",3,0,1,179,23,577
"1717","Kévin Richez",3,0,1,8,0,17
"1718","kfrah",3,0,1,16,55,9
"1719","Kris Anselmo",3,111,3,493,54,438
"1720","Lark585",3,0,1,36,0,9
"1721","lylambda",3,0,1,20,3,11
"1722","Lyntern",3,0,1,25,3,29
"1723","Mairie de Belleville - STAUFFER Nicolas",3,0,1,7,0,3
"1724","Manu Stefan",3,0,1,3,0,0
"1725","MaRa33",3,0,1,20,0,2
"1726","Marc Leman",3,0,1,3,0,3
"1727","Marius Lechat",3,0,1,3,0,4
"1728","Mateusz Konieczny",3,209,2,3372,0,164
"1729","Maxime Résibois",3,0,1,248,12,871
"1730","Mediatrotters",3,0,1,8,0,0
"1731","mefioules",3,8,2,35,1,66
"1732","Meos",3,0,1,3,0,5
"1733","Merlin Boissaux",3,0,1,421,127,51
"1734","mkl133",3,0,1,9,0,1
"1735","mpliax",3,0,1,13,0,7
"1736","Nautic",3,97,2,553,1,267
"1737","Nicolas Paris",3,0,1,4,0,2
"1738","NicoRay",3,2,2,33,3,191
"1739","ninanoun",3,1,2,10,0,5
"1740","november3000",3,0,1,8,3,145
"1741","npopravka",3,0,1,3,0,0
"1742","Pan",3,0,1,46,4,1433
"1743","Pascal Lambert",3,0,1,27,0,67
"1744","Patrice_H",3,0,1,50,1,527
"1745","Paul McCormack",3,0,1,5,0,12
"1746","Phapha",3,0,1,9,0,0
"1747","PhilLL",3,79,3,245,138,227
"1748","potetox",3,0,1,22,0,0
"1749","propergol66",3,0,1,3,0,0
"1750","remontees",3,113,2,1342,124,1107
"1751","Reno38",3,22,3,75,79,126
"1752","Ro'Spered",3,0,1,14,1,2
"1753","romanafrankovic",3,0,1,3,0,3
"1754","ROmi 07",3,0,1,3,0,0
"1755","seb73k",3,1102,2,61,6,131
"1756","sigmun84",3,0,1,157,29,79
"1757","Sigo",3,1233,3,17969,1731,87421
"1758","Silverspur",3,0,1,6,0,12
"1759","skbo",3,0,1,63,0,16
"1760","soemisch",3,17,3,745,22,154
"1761","sondre1868",3,0,1,3,0,6
"1762","Spicalioth",3,6,3,66,0,5
"1763","stbg",3,0,1,3,1,28
"1764","stefan3000",3,0,1,21,0,2
"1765","Stéphane BASSET",3,1,2,8,0,13
"1766","StéphanieB",3,0,1,4,0,0
"1767","SV-12100",3,0,1,98,5,58
"1768","themiurgo",3,0,1,9,0,8
"1769","ThibaultPelloquin",3,0,1,76,0,394
"1770","thieri",3,0,1,4,0,0
"1771","ThierryB04",3,0,1,37,547,5
"1772","tjoliveau",3,0,1,5,0,0
"1773","travelling_salesman",3,0,1,47,0,74
"1774","Trekin",3,0,1,8,0,3
"1775","Un Jusserand",3,69,2,4,0,1
"1776","Valerian91",3,0,1,3,0,0
"1777","valkebets",3,0,1,5,0,5
"1778","vinc44",3,346,3,736,505,5473
"1779","vitretuvalu",3,1,2,138,2,278
"1780","vmeurisse",3,224,2,1087,184,48219
"1781","wwwcdorg",3,0,1,10,0,2
"1782","yannmartinel",3,0,1,3,0,7
"1783","yannpereon",3,0,1,3,0,2
"1784","YogOSM",3,0,1,46,25,37
"1785","zuphilip",3,0,1,36,0,17
"1786","_1110",2,0,1,55,8,471
"1787","1piedsurTerre",2,0,1,577,25,15616
"1788","5bird",2,0,1,358,10,221
"1789","a3nm",2,0,1,613,393,193
"1790","Adava-Anthony",2,186,2,235,129,45
"1791","adjuva",2,411,2,984,268,788
"1792","alain ISARD",2,1,2,59,3,1012
"1793","Alain Marbach",2,0,1,2,0,0
"1794","Aleks-Berlin",2,200,2,236,18,463
"1795","Alexir93",2,0,1,11,0,39
"1796","Amélied",2,0,1,7,0,106
"1797","Andreja Geiger",2,0,1,2,0,4
"1798","ansuta",2,0,1,97,6,421
"1799","Anthoe13",2,0,1,15,0,6
"1800","Antoine De Larue",2,0,1,6,0,0
"1801","anzizOSM",2,0,1,3,0,3
"1802","Argall",2,0,1,31,0,0
"1803","AtomMapper",2,0,1,13,0,9
"1804","Aznhar",2,0,1,2,0,5
"1805","azsdrt",2,0,1,16,3,53
"1806","baal_map",2,0,1,52,24,10
"1807","balexandre",2,9,2,86,2,3418
"1808","benardt",2,29,2,83,4,133
"1809","benhue",2,0,1,18,1,220
"1810","Benjamin Lefèvre",2,38,2,3513,121,29199
"1811","bernard90300",2,124,2,34,4,17
"1812","Besnard",2,0,1,3,0,2
"1813","Bonya_23",2,0,1,2,0,2
"1814","bosboer",2,0,1,9,3,11
"1815","Britaliope",2,1,2,144,103,68
"1816","busdriver01",2,0,1,3,3,2
"1817","Camille Nietzsche",2,11,2,114,27,102
"1818","Caroline Green",2,0,1,2,0,2
"1819","cartophyl",2,0,1,9,1,8
"1820","CaSa",2,0,1,14,0,4
"1821","cedricl",2,2721,2,230,14,84
"1822","Chetan_Gowda",2,0,1,10,5,36
"1823","Chicken3gg",2,0,1,3,0,1
"1824","chris0385",2,1,2,43,0,187
"1825","Chriss Jeschke",2,0,1,4,103,1
"1826","Classe14MB",2,0,1,18,0,5
"1827","clembeb",2,60,2,130,0,82
